timestamp,content,style,size,steps,alpha,beta,gamma,lr,seed,final_total_loss,wall_time_s,ssim_vs_content,final_image
2025-09-15T05:47:37.974313+00:00,Forest.jpg,Starry_night.jpg,256,50,1,5000,10,0.02,42,2.557711e+12,80.883,0.470893,outputs\runs\Forest__Starry_night__256px_50s_a1_b5000_tv10_lr0.02_seed42__final.png
2025-09-15T05:49:00.918290+00:00,Forest.jpg,Surrealism.jpg,256,50,1,1000,10,0.02,42,8.455067e+11,81.279,0.463245,outputs\runs\Forest__Surrealism__256px_50s_a1_b1000_tv10_lr0.02_seed42__final.png
2025-09-15T05:50:21.262104+00:00,Forest.jpg,Surrealism.jpg,256,50,1,2000,10,0.02,42,1.691102e+12,80.337,0.463299,outputs\runs\Forest__Surrealism__256px_50s_a1_b2000_tv10_lr0.02_seed42__final.png
2025-09-15T05:51:41.732222+00:00,Forest.jpg,Surrealism.jpg,256,50,1,5000,10,0.02,42,4.231840e+12,80.464,0.463330,outputs\runs\Forest__Surrealism__256px_50s_a1_b5000_tv10_lr0.02_seed42__final.png
2025-09-15T05:53:03.608397+00:00,moutain.jpg,cubism.jpg,256,50,1,1000,10,0.02,42,2.903661e+12,80.252,0.283549,outputs\runs\moutain__cubism__256px_50s_a1_b1000_tv10_lr0.02_seed42__final.png
2025-09-15T05:54:23.983326+00:00,moutain.jpg,cubism.jpg,256,50,1,2000,10,0.02,42,5.807397e+12,80.368,0.283548,outputs\runs\moutain__cubism__256px_50s_a1_b2000_tv10_lr0.02_seed42__final.png
2025-09-15T05:55:44.253331+00:00,moutain.jpg,cubism.jpg,256,50,1,5000,10,0.02,42,1.451740e+13,80.264,0.283560,outputs\runs\moutain__cubism__256px_50s_a1_b5000_tv10_lr0.02_seed42__final.png
2025-09-15T05:57:05.986862+00:00,moutain.jpg,Da Vinci.jpg,256,50,1,1000,10,0.02,42,1.941715e+11,80.122,0.442043,outputs\runs\moutain__Da Vinci__256px_50s_a1_b1000_tv10_lr0.02_seed42__final.png
2025-09-15T05:58:26.325774+00:00,moutain.jpg,Da Vinci.jpg,256,50,1,2000,10,0.02,42,3.880305e+11,80.333,0.442081,outputs\runs\moutain__Da Vinci__256px_50s_a1_b2000_tv10_lr0.02_seed42__final.png
2025-09-15T05:59:46.345648+00:00,moutain.jpg,Da Vinci.jpg,256,50,1,5000,10,0.02,42,9.701795e+11,80.015,0.442070,outputs\runs\moutain__Da Vinci__256px_50s_a1_b5000_tv10_lr0.02_seed42__final.png
